source,title,company,location,country,remote_type,url,primary_track,fit_score,matched_skills,missing_skills,salary_min,salary_max,currency,seniority_estimate,link_status,link_status_code
remotive,Staff Product Engineer (Florianópolis),LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/product/staff-product-engineer-florianopolis-2090899,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
remotive,Staff Product Engineer (Belo Horizonte),LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/product/staff-product-engineer-belo-horizonte-2090900,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
remotive,Staff Product Engineer (Porto Alegre),LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/product/staff-product-engineer-porto-alegre-2090901,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
remotive,Staff Product Engineer (Campinas),LawnStarter,Brazil,,remote,https://remotive.com/remote-jobs/product/staff-product-engineer-campinas-2090902,backend_cloud,61.1,IAM; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Airflow; dbt; Observability; Security; AI,,,USD,staff,accessible,200
arbeitnow,Senior AI DevOps / LLMOps,TechBiz Global GmbH,Baden-Baden,,,https://www.arbeitnow.com/jobs/companies/techbiz-global-gmbh/senior-ai-devops-llmops-baden-baden-304699,platform_engineering,59.0,IAM; Kubernetes; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,LLM; Terraform; Observability; Security; AI; CI/CD,,,,senior,accessible,200
arbeitnow,Staff Software Engineer (m/w/d),Sharpist GmbH,Berlin,,,https://www.arbeitnow.com/jobs/companies/sharpist-gmbh/staff-software-engineer-berlin-131553,ai_engineering,58.3,TypeScript; Docker; Node.js; JavaScript,LLM; AI,,,,staff,accessible,200
arbeitnow,Senior Full Stack Engineer - Sidekick,SumUp,"Berlin, Berlin, Germany",,,https://www.arbeitnow.com/jobs/companies/sumup/senior-full-stack-engineer-sidekick-berlin-450258,backend_cloud,58.3,Kubernetes; TypeScript; JavaScript; Agile,LLM; REST APIs,,,,senior,accessible,200
adzuna,Staff Engineer Distributed Systems & Infrastructure Rotterdam,CodeGuild,"Rotterdam, Zuid-Holland",nl,,https://www.adzuna.nl/details/5758215408?utm_medium=api&utm_source=76293b30,platform_engineering,50.0,Kubernetes,Kafka,95000.0,130000.0,,staff,accessible,200
arbeitnow,Cloud Implementation Specialist (gn),Proemion,Fulda,,,https://www.arbeitnow.com/jobs/companies/proemion/cloud-implementation-specialist-gn-fulda-430987,backend_cloud,50.0,Python; Agile,Security,,,,lead,accessible,200
arbeitnow,Kubernetes Platform Engineer (m/w/d),interface projects GmbH,Dresden,,,https://www.arbeitnow.com/jobs/companies/interface-projects-gmbh/kubernetes-platform-engineer-dresden-82567,platform_engineering,50.0,Kubernetes; Docker,Observability; CI/CD,,,,unknown,accessible,200
arbeitnow,KI-Entwickler / AI Engineer für Projekte im Mittelstand (m/w/d),COREEN GmbH,Berlin,,remote,https://www.arbeitnow.com/jobs/companies/coreen-gmbh/ki-entwickler-ai-engineer-fur-projekte-im-mittelstand-berlin-60205,ai_engineering,44.4,TypeScript; Python; Docker; JavaScript; Git,LLM; RAG; AI; CI/CD,,,,unknown,accessible,200
arbeitnow,Computer Vision & AI Engineer - N3XT Interceptor C‑UAS (m/f/d),Quantum- Systems GmbH,Gilching,,,https://www.arbeitnow.com/jobs/companies/quantum-systems-gmbh/computer-vision-ai-engineer-n3xt-interceptor-cuas-gilching-191952,ai_engineering,44.4,Python; Git; Agile,Security; AI,,,,unknown,accessible,200
arbeitnow,Senior Go Backend Developer,Pertemps ERP,Hamburg,,,https://www.arbeitnow.com/jobs/companies/pertemps-erp/senior-go-backend-developer-hamburg-337563,backend_cloud,40.0,Microservices,Kafka,,,,senior,accessible,200
arbeitnow,"DevOps Engineer (Part-Time, Remote)",Louco Event Media GmbH,Offenbach,,remote,https://www.arbeitnow.com/jobs/companies/louco-event-media-gmbh/devops-engineer-part-time-remote-offenbach-176013,platform_engineering,38.1,Kubernetes; Docker; PostgreSQL; Git,Terraform; Observability; Security; AI; CI/CD,,,,unknown,accessible,200
